code;parent;fr;nl;de;alt_fr;alt_nl;alt_de;start;end;exactmatch1
302;;Service public fédéral de programmation;Programmatorische federale overheidsdienst;Föderaler öffentlicher Programmierungsdienst;SPP;POD;FÖP;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/302
303;;Autre service fédéral;Andere federale dienst;Anderer föderale Dienst;SERVFEDE;FEDEDIEN;FödD;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/303
310;;Autorité de la Région flamande et de la Communauté flamande;Overheid van het Vlaamse Gewest en van de Vlaamse Gemeenschap;Behörde der Flämischen Region und der Flämischen Gemeinschaft;REGCOMNL;VLGEWGEM;FlRG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/310
320;;Autorité de la Région wallonne;Overheid van het Waalse Gewest;Behörde der Wallonischen Region;RW;WG;WR;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/320
330;;Autorité de la Région de Bruxelles-Capitale;Overheid van het Brusselse Hoofdstedelijk Gewest;Behörde der Region Brüssel-Hauptstadt;REGBRXCA;BRUHOOGE;RBH;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/330
340;;Autorité de la Communauté française;Overheid van de Franse Gemeenschap;Behörde der Französischen Gemeinschaft;COMMFRAN;FRAGEMEE;FrG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/340
350;;Autorité de la Communauté germanophone;Overheid van de Duitstalige Gemeenschap;Behörde der Deutschsprachigen Gemeinschaft;COMGERMA;DUITGEME;DG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/350
370;;Ministère des Affaires économiques;Ministerie van Economische Zaken;Ministerium der Wirtschaftsangelegenheiten;AFFECO;ECOZAKEN;MWA;01/01/1800;30/06/2003;
371;;Ministère des Affaires étrangères, Commerce extérieur et Coopération au Développement;Ministerie van Buitenlandse Zaken, Buitenlandse handel en Ontwikkelingssamenwerking;Ministerium der Auswärtigen Angelegenheiten, des Außenhandels und der Entwicklungszusammenarbeit;AE;BZ;MAA;01/01/1800;30/06/2003;
372;;Ministère de l'Agriculture;Ministerie van Landbouw;Ministerium der Landwirtschaft;MINAGRI.;LANDMIN;ML;01/01/1800;30/06/2003;
373;;Ministère des Classes moyennes;Ministerie van Middenstand;Ministerium des Mittelstands;MOYENNES;MIDDENST;MnMittel;01/01/1800;30/06/2003;
374;;Ministère des Communications;Ministerie van Verkeerswerken;Ministerium des Verkehrswesens;MINCOMM;VERKEER;MV;01/01/1800;30/06/2003;
