code;parent;fr;nl;de;alt_fr;alt_nl;alt_de;start;end;exactmatch1
454;;Société étrangère avec un bien immobilier en Belgique (sans personnalité juridique);Buitenlandse onderneming met onroerend goed in België (zonder rechtspersoonlijkheid);Ausländische Gesellschaft mit einer Immobilie in Belgien (ohne Rechtspersönlichkeit);SEBIBE;BOOGBE;AusGmImm;01/01/1800;30/06/2003;
506;;Société coopérative à responsabilité illimitée à finalité sociale;Coöperatieve vennootschap met onbeperkte aansprakelijkheid met een sociaal oogmerk;Genossenschaft mit unbeschränkter Haftung mit sozialer Zielsetzung;SCRI FS;CVOA SO;GuHsZ;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/506
508;;Société coopérative à responsabilité limitée à finalité sociale;Coöperatieve vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk;Genossenschaft mit beschränkter Haftung mit sozialer Zielsetzung;SCRL FS;CVBA SO;GbHsZ;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/508
510;;Société privée à responsabilité limitée unipersonnelle à finalité sociale;Eenpersoons besloten vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk;Privatgesellschaft mit beschränkter Haftung mit sozialer Zielsetzung mit einem Alleingesellschafter;SPRLU FS;EBVBA SO;PgbHsZ;01/01/1800;28/02/2004;http://vocab.belgif.be/auth/orgtype/cbe2003/510
511;;Société en nom collectif à finalité sociale;Vennootschap onder firma met een sociaal oogmerk;Offene Handelsgesellschaft mit sozialer Zielsetzung;SNC FS;VOF SO;OHGmsZ;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/511
512;;Société en commandite simple à finalité sociale;Gewone commanditaire vennootschap met een sociaal oogmerk;Einfache Kommanditgesellschaft mit sozialer Zielsetzung;SCS FS;GCW SO;EKGmsZ;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/512
513;;Société en commandite par actions à finalité sociale;Commanditaire vennootschap op aandelen met een sociaal oogmerk;Kommanditgesellschaft auf Aktien mit sozialer Zielsetzung;SCA FS;CVA SO;KGaAmsZ;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/513
514;;Société anonyme à finalité sociale;Naamloze vennootschap met een sociaal oogmerk;Aktiengesellschaft mit sozialer Zielsetzung;SA FS;NV SO;AGmsZ;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/514
515;;Société privée à responsabilité limitée à finalité sociale;Besloten vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk;Privatgesellschaft mit beschränkter Haftung mit sozialer Zielsetzung;SPRL FS;BVBA SO;PmbHsZ;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/515
560;;Groupement d'intérêt économique à finalité sociale;Economisch samenwerkingsverband met een sociaal oogmerk;Wirtschaftliche Interessenvereinigung mit sozialer Zielsetzung;GIE FS;ESV SO;WIVmsZ;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/560
606;;Société coopérative à responsabilité illimitée et à finalité sociale;Coöperatieve vennootschap met onbeperkte aansprakelijkheid met een sociaal oogmerk;Genossenschaft mit unbeschränkter Haftung mit sozialer Zielsetzung;SCRI FS;CVOA SO;GuHsZöfr;01/01/1800;23/04/2004;http://vocab.belgif.be/auth/orgtype/cbe2003/606
608;;Société coopérative à responsabilité limitée à finalité sociale;Coöperatieve vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk;Genossenschaft mit beschränkter Haftung mit sozialer Zielsetzung;SCRL FS;CVBA SO;GbHsZör;01/01/1800;23/04/2004;http://vocab.belgif.be/auth/orgtype/cbe2003/608
614;;Société anonyme à finalité sociale;Naamloze vennootschap met een sociaal oogmerk;Aktiengesellschaft mit sozialer Zielsetzung;SA FS;NV SO;AGmsZ;01/01/1800;23/04/2004;http://vocab.belgif.be/auth/orgtype/cbe2003/614
651;;Autre forme à finalité sociale de droit public;Andere vorm met een sociaal oogmerk van publiek recht;Andere öffentlich-rechtliche Rechtsform mit sozialer Zielsetzung;FORME FS;VORM SO;RFmsZ;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/651
701;;Société commerciale irrégulière;Onrechtmatige handelsvennootschap;Unrechtmäßige Handelsgesellschaft;SCI;OMHV;UHG;01/01/1800;30/06/2003;
702;;Société de droit commun;Maatschap;Gesellschaft des allgemeinen Rechts;SDC;MS;GaR;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/702
703;;Société momentanée;Tijdelijke handelsvennootschap;Gelegenheitsgesellschaft;SM;TH;GG;01/01/1800;30/06/2003;
704;;Société interne;Stille handelsvennootschap;Stille Gesellschaft;SI;SH;SG;01/01/1800;30/06/2003;
721;;Société ou association sans personnalité juridique;Vennootschap of vereniging zonder rechtspersoonlijkheid;Gesellschaften oder Vereinigungen ohne Rechtspersönlichkeit;SASPJ;VVZRL;GVoRP;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/721
722;;Association momentanée;Tijdelijke vereniging;Arbeitsgemeinschaft;AM;TV;Arbeitg;01/01/1800;06/02/2001;
723;;Association de frais;Kostendelende vereniging;Kostenteilende Vereinigung;AFRAIS;KV;KV;01/01/1800;30/06/2003;
724;;Syndicat;Vakbond;Gewerkschaft;SYNDIC;VAKBOND;Gewerksc;01/01/1800;18/02/2003;
790;;Divers sans personnalité juridique;Diversen zonder rechtspersoonlijkheid;Sonstige - ohne Rechtspersönlichkeit;DSPJ;DZRL;SoRP;01/01/1800;30/06/2003;
999;;Forme juridique inconnue (ONSS);Ongekende rechtsvorm RSZ;Unbekannte Rechtsform beim LASS;OUTONSS;OUTRSZ;OutLASS;01/01/1800;30/06/2003;
