code;parent;fr;nl;de;alt_fr;alt_nl;alt_de;start;end;exactmatch1
001;;Société coopérative européenne;Europese Coöperatieve Vennootschap;Europäische Genossenschaft;SCE;SCE;SCE;30/11/2006;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/001#id
002;;Organisme de financement de pensions;Organisme voor de Financiering van Pensioenen;Organismus für die Finanzierung von Pensionen;OFP;OFP;OFP;01/01/2007;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/002#id
003;;Unité TVA;BTW-eenheid;Mehrwertsteuereinheit;UTVA;BTWE;MWSE;01/04/2007;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/003#id
006;;Société coopérative à responsabilité illimitée;Coöperatieve vennootschap met onbeperkte aansprakelijkheid;Genossenschaft mit unbeschränkter Haftung;SCRI;CVOA;Gen.mubH;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/006#id
008;;Société coopérative à responsabilité limitée;Coöperatieve vennootschap met beperkte aansprakelijkheid;Genossenschaft mit beschränkter Haftung;SCRL;CVBA;Gen.mbH;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/008#id
011;;Société en nom collectif;Vennootschap onder firma;Offene Handelsgesellschaft;SNC;V.O.F.;OHG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/011#id
012;;Société en commandite simple;Gewone commanditaire vennootschap;Einfache Kommanditgesellschaft;SCS;Comm.V;EKG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/012#id
013;;Société en commandite par actions;Commanditaire vennootschap op aandelen;Kommanditgesellschaft auf Aktien;SCA;Comm.VA;KGaA;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/013#id
014;;Société anonyme;Naamloze vennootschap;Aktiengesellschaft;SA;NV;AG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/014#id
015;;Société privée à responsabilité limitée;Besloten vennootschap met beperkte aansprakelijkheid;Privatgesellschaft mit beschränkter Haftung;SPRL;BVBA;PGmbH;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/015#id
017;;Association sans but lucratif;Vereniging zonder winstoogmerk;Vereinigung ohne Gewinnerzielungsabsicht;ASBL;VZW;VoG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/017#id
019;;Mutualité / Société Mutualiste / Union nationale de mutualités;Ziekenfonds / Maatschappij van onderlinge bijstand / Landsbond van ziekenfondsen;Krankenkasse / Gesellschaft auf Gegenseitigkeit / Krankenkassenlandesverband;MUTU;ZIEK F;Kankenka;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe1800/019#id
